Company,City,County,State,yr built,cases_jul_17,date_first_case,_deaths,date_first_death,num_employees,num_tests,any_closure,flag?,close_date,reopen_date,meat_type,estnumber,line_speed_waiver,Sources,Notes,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link
JBS,Hyrum,Cache,Utah,,385,6/5/2020,n/a,n/a,nearly 1400,nearly 1400 (all workers),No,,n/a,n/a,beef,M628+P628,,Salt Lake Tribune,Tribune: testing conducted on May 30,https://www.sltrib.com/news/2020/06/05/covid-cases-continue/,https://www.sltrib.com/news/2020/06/08/cache-valley-providing/,https://www.sltrib.com/news/politics/2020/06/09/meatpacking-workers/,https://www.sltrib.com/news/2020/07/03/outbreak-utah-meatpacking/,,,,,,,,,,,,,,
JBS,Moorefield,Hardy,West Virginia,,18,5/15/2020,n/a,n/a,unclear,unclear,No,,n/a,n/a,poultry,M810+P810,Yes,Cumberland Times-News,,https://www.times-news.com/coronavirus/18-covid-19-cases-at-pilgrims-pride-plant/article_f8d57135-e84a-550d-8144-1cf51d4aa88c.html,,,,,,,,,,,,,,,,,
JBS,Green Bay,Brown,Wisconsin,1962,"262 employees, 86 people connected to employees; 1 of 14 affected plants w/ a total of 860 positive cases, per CDC",4/20/2020,n/a,n/a,1200,unclear,Yes,,4/26/2020,5/5/2020,beef,M562,,"JBS press release, Green Bay Press Gazette, Milwaukee Journal-Sentinel, AP, WBAY-TV, Centers for Disease Control and Prevention","Two relatives of workers at this plant have died, per Green Bay Press-Gazette",https://jbssa.com/about/news/2020/04-26/#.XqdhzS2ZO_s,https://www.greenbaypressgazette.com/story/news/2020/05/04/coronavirus-brown-county-jbs-reopen-green-bay-plant-tuesday/3079565001/,https://www.greenbaypressgazette.com/story/news/2020/04/20/green-bay-coronavirus-jbs-packing-american-foods-employees-infected/5165369002/,https://www.jsonline.com/story/news/2020/04/23/coronavirus-cases-linked-green-bay-meatpacking-plant-spike/3007750001/,https://www.greenbaypressgazette.com/story/news/2020/04/25/brown-county-coronavirus-how-cluster-covid-19-developed/3000721001/,https://apnews.com/b1503b5591c682530d1005e58ec8c267,https://www.wbay.com/content/news/More-Brown-County-COVID-19-cases-linked-to-outbreaks-at-meat-packing-facilities-570047781.html,https://www.greenbaypressgazette.com/story/news/2020/06/17/brown-county-coronavirus-deaths-green-bay-mom-daughter-die-covid-19/3175263001/,https://www.cdc.gov/mmwr/volumes/69/wr/mm6927e2.htm?s_cid=mm6927e2_w,,,,,,,,,
Johnsonville,Holton,Jackson,Kansas,,"134; total of 3,205 positive cases in state, per Wichita Eagle",5/13/2020,n/a,n/a,unclear,unclear,Yes,,5/13/2020,5/29/2020,beef,M5536+P5536,,"AP, KSNT-TV, Wichita Eagle, State of Kansas spreadsheet showing outbreaks obtained via Kansas Open Records Act",,https://www.ksn.com/news/health/coronavirus/coronavirus-in-kansas/kansas-meatpacking-plant-shuts-down-amid-covid-19-cases/,https://www.ksnt.com/health/coronavirus/holtons-johnsonville-plant-to-temporarily-close-due-to-coronavirus/,https://www.kansas.com/news/coronavirus/article243306751.html,https://www.documentcloud.org/documents/6946542-KansasClusterReport.html,https://www.kansas.com/news/coronavirus/article244190362.html,,,,,,,,,,,,,
Kenosha Beef,Kenosha,Kenosha,Wisconsin,,"15; 1 of 14 affected plants w/ a total of 860 positive cases, per CDC",4/29/2020,n/a,n/a,unclear,unclear,No,,n/a,n/a,beef,M425B+P425B,,"Kenosha News, Centers for Disease Control and Prevention",,https://www.kenoshanews.com/news/local/kenosha-county-meatpacking-companies-respond-to-covid-19-crisis/article_9a36aac8-555a-57b4-95a1-e00000bb0746.html,https://www.kenoshanews.com/news/local/national-guard-conducts-testing-at-two-kenosha-meat-processing-facilities/article_1efaad0c-c0cb-536c-8d3d-0750c017cbe6.html,https://www.cdc.gov/mmwr/volumes/69/wr/mm6927e2.htm?s_cid=mm6927e2_w,,,,,,,,,,,,,,,
Koch Foods,Forest,Scott,Mississippi,,"3; 123 total cases in state, per CDC",5/1/2020,1,5/12/2020,unclear,unclear,No,,n/a,n/a,poultry,M9141+P9141,,"Clarion Ledger, Angela Stuesse (researched poultry plants extensively) Op-Ed in USA Today",,https://www.clarionledger.com/story/news/2020/05/01/mississippi-coronavirus-disease-spreads-among-chicken-plant-workers/3041482001/,https://www.usatoday.com/story/opinion/voices/2020/05/12/coronavirus-takes-poultry-worker-celso-mendoza-column/3109292001/?utm_source=feedblitz&utm_medium=FeedBlitzRss&utm_campaign=usatoday-newstopstories,,,,,,,,,,,,,,,,
Koch Foods,Morton,Scott,Mississippi,,"4; 123 total cases in state, per CDC",5/1/2020,n/a,n/a,unclear,unclear,No,,n/a,n/a,poultry,P19833+V19833,,Clarion Ledger,,https://www.clarionledger.com/story/news/2020/05/01/mississippi-coronavirus-disease-spreads-among-chicken-plant-workers/3041482001/,,,,,,,,,,,,,,,,,
Koch Foods,Chattanooga,Hamilton,Tennessee,,"28; 1 of 7 affected plants in state w/ total of 640 positive cases, per CDC",5/14/2020,n/a,n/a,about 400,about 300,No,,n/a,n/a,poultry,P7487,,"Chattanooga Times Free Press, NewsChannel9, Centers for Disease Control and Prevention",,https://www.timesfreepress.com/news/local/story/2020/may/14/covid-19-cases-chattanooga-meat-processing-plant/522994/,https://newschannel9.com/news/local/health-department-total-of-26-covid-19-cases-at-two-chattanooga-chicken-plants,https://www.timesfreepress.com/news/local/story/2020/may/27/poultry-plants-test-workers-implement-more-sa/523944/,https://www.cdc.gov/mmwr/volumes/69/wr/mm6927e2.htm?s_cid=mm6927e2_w,,,,,,,,,,,,,,
Lincoln Premium Poultry,Fremont,Dodge,Nebraska,,"73; total of 4,596 workers tested positive in state, per Lincoln Journal-Star",4/13/2020,"1; total of 18 deaths in NE, per Lincoln Journal-Star",5/4/2020,about 1100,176,No,,n/a,n/a,poultry,P48304,,"Omaha World-Herald, Lincoln Journal-Star",,https://www.omaha.com/news/state_and_regional/fremont-chicken-plant-worker-dies-plants-in-madison-schuyler-to-close-temporarily/article_0791f20a-f47f-5c0e-9c9a-ede2ab0fd0a2.html,https://www.omaha.com/news/state_and_regional/19-more-workers-at-costco-chicken-plant-in-fremont-test-positive-for-coronavirus/article_6520bfac-aa3a-538b-adec-a0e450caf566.html,https://www.omaha.com/news/state_and_regional/10-workers-at-hastings-meatpacking-plant-1-worker-at-fremont-chicken-plant-have-covid-19/article_6bf28631-05e7-5bf2-a32b-4ca03f0e7a0c.html,https://www.omaha.com/money/economic-issues/two-more-workers-test-positive-for-coronavirus-at-costco-chicken-plant-in-fremont/article_f4b9138a-dbb0-54c4-833d-68c7a86da831.html,https://www.omaha.com/news/state_and_regional/meatpacking-plants-are-nebraskas-newest-battleground-in-war-against-coronavirus/article_cb30e2ab-099a-5458-b0ec-01c0d05fc9e9.html,https://journalstar.com/lifestyles/health-med-fit/health/smithfield-in-crete-may-close-because-of-rising-number-of-cases/article_1f3377e0-e746-587b-830b-6fcaa535bf8d.html,https://www.omaha.com/news/state_and_regional/fremont-chicken-plant-worker-dies-plants-in-madison-schuyler-to-close-temporarily/article_0791f20a-f47f-5c0e-9c9a-ede2ab0fd0a2.html,https://www.omaha.com/news/state_and_regional/meatpacking-workers-account-for-one-in-six-coronavirus-cases-nebraskas-total-cases-top-7-000/article_92b9c056-a8fc-5f8b-84eb-15404939b6ba.html,https://www.omaha.com/news/state_and_regional/14-more-coronavirus-cases-reported-at-costco-chicken-plant-in-fremont/article_437a7225-48ef-59a2-a1fb-83e6f110aebd.html#1,https://www.omaha.com/news/state_and_regional/19-more-workers-at-costco-chicken-plant-in-fremont-test-positive-for-coronavirus/article_6520bfac-aa3a-538b-adec-a0e450caf566.html,https://journalstar.com/business/agriculture/watch-now-virus-controlled-in-meatpacking-plants-ag-undersecretary-says/article_b8b60a68-2f9b-5095-8487-a55396f4909f.html,https://journalstar.com/business/local/nebraska-city-meatpacking-plant-bucks-outbreak-trend/article_4faf324d-fb35-57f6-a5d4-45a39229072b.html,https://journalstar.com/news/state-and-regional/govt-and-politics/ricketts-keeps-coronavirus-options-open-as-he-eyes-other-outbreaks/article_4b4742bc-c0a8-57b7-880b-0d54eada5181.html,,,,,
Long Prairie Packing,Long Prairie,Todd,Minnesota,,"249; total of 1,669 positive cases in state, per Minneapolis Star Tribune",5/28/2020,n/a,n/a,500-600,500-600 (all workers),No,,n/a,n/a,beef,M253,,"Minneapolis Star Tribune, Minnesota Public Radio","This originally said 277 workers had tested positive, we regret the error",https://www.startribune.com/long-prairie-packing-latest-minnesota-meatpacking-plant-to-have-covid-19-outbreak/570845702/,https://www.startribune.com/more-than-200-at-hormel-quality-pork-processors-test-positive-for-covid-19/571058272/,https://www.mprnews.org/story/2020/06/10/long-prairie-beef-processor-among-latest-swept-by-covid19-despite-significant-prevention,,,,,,,,,,,,,,,
LSI Jack Link,Alpena,Jerauld,South Dakota,,"129; total of 1,593 positive cases in state, per CDC",5/27/2020,1,5/27/2020,unclear,unclear,No,,n/a,n/a,beef,M279+P19254,,Argus Leader,,https://www.argusleader.com/story/news/2020/05/27/jack-links-snacks-worker-dies-covid-19-south-dakota/5266459002/,https://www.argusleader.com/story/news/2020/05/27/huron-south-dakota-coronavirus-cases-covid-19/5262379002/,https://www.argusleader.com/story/news/politics/2020/06/12/one-more-coronavirus-death-reported-south-dakota-77-new-cases/3174802001/,https://www.cdc.gov/mmwr/volumes/69/wr/mm6927e2.htm?s_cid=mm6927e2_w,https://www.argusleader.com/story/news/2020/07/09/coronavirus-south-dakota-deaths-surpass-100-state-covid-19/5404721002/,,,,,,,,,,,,,
Miller Poultry,Orland,Steuben,Indiana,,6,5/3/2020,n/a,n/a,unclear,unclear,Yes,,5/4/2020,5/4/2020,poultry,P39,,WPTA21,,https://wpta21.com/2020/05/03/steuben-county-chicken-plant-hit-by-coronavirus/,,,,,,,,,,,,,,,,,
Mountain States Rosen Company,,Weld,Colorado,,9,5/1/2020,n/a,n/a,unclear,unclear,No,,n/a,n/a,lamb,M19652,,Colorado Dept of Public Health and Environment,,https://covid19.colorado.gov/data/outbreak-data,,,,,,,,,,,,,,,,,
Mountaire Farms,Selbyville,Sussex,Delaware,,"1 of 6 plants w/ 336 positive cases in state, per CDC",4/1/2020,n/a,n/a,n/a,n/a,No,,n/a,n/a,poultry,M667+P667,,"Delmarva Now, Delaware Online",,https://www.delmarvanow.com/story/news/local/delaware/2020/04/01/mountaire-farms-confirms-covid-19-case-possible-exposure-15-employees/5102127002/,https://www.delmarvanow.com/story/news/local/virginia/2020/04/24/tyson-foods-closes-virginia-shore-plant-deep-cleaning/3019657001/,https://www.delawareonline.com/story/news/local/2020/04/28/southern-delaware-councilman-testing-chicken-plant-workers-dumb-idea/3039276001/,,,,,,,,,,,,,,,
National Beef,Dodge City,Ford,Kansas,,"581; total of 3,205 positive cases in state, per Wichita Eagle",4/20/2020,"4; total of 17, per Wichita Eagle",6/7/2020,unclear,unclear,Yes,,4/16/2020,4/21/2020,beef,M86K,,"KAKE, Wichita Eagle, State of Kansas spreadsheet showing outbreaks obtained via Kansas Open Records Act",Wichita Eagle obtained secret list of hot spots in Kansas,http://www.kake.com/story/42026050/kansas-meatpacking-plants-have-coronavirus-cases-and-stay-open-amid-safety-concerns,https://www.kansas.com/news/coronavirus/article243306751.html,https://www.kansas.com/news/coronavirus/article243305606.html,https://www.documentcloud.org/documents/6946542-KansasClusterReport.html,https://www.kansas.com/news/coronavirus/article244190362.html,https://www.bizjournals.com/kansascity/stories/2006/05/29/daily31.html,,,,,,,,,,,,
National Beef,Liberal,Seward,Kansas,,"381; total of 3,205 positive cases in state, per Wichita Eagle",4/20/2020,n/a,n/a,unclear,unclear,Yes,,n/a,n/a,beef,M262,,"KAKE, Wichita Eagle, State of Kansas spreadsheet showing outbreaks obtained via Kansas Open Records Act",Wichita Eagle obtained secret list of hot spots in Kansas,http://www.kake.com/story/42026050/kansas-meatpacking-plants-have-coronavirus-cases-and-stay-open-amid-safety-concerns,https://www.kansas.com/news/coronavirus/article243306751.html,https://www.kansas.com/news/coronavirus/article243305606.html,https://www.documentcloud.org/documents/6946542-KansasClusterReport.html,https://www.kansas.com/news/coronavirus/article244190362.html,,,,,,,,,,,,,
National Beef,Kansas City,Wyandotte,Kansas,,"38; total of 3,205 positive cases in state, per Wichita Eagle",6/16/2020,n/a,n/a,unclear,unclear,No,,n/a,n/a,beef,M2966 +P2966 +V2966,,"Kansas Department of Health and Environment Covid-19 cluster report, State of Kansas spreadsheet showing outbreaks obtained via Kansas Open Records Act",state reported obtained by Heather Schlitz of Midwest Center,https://www.documentcloud.org/documents/6946542-KansasClusterReport.html,https://www.kansas.com/news/coronavirus/article244190362.html,,,,,,,,,,,,,,,,
National Beef Packing,Tama,Tama,Iowa,,258,4/13/2020,n/a,n/a,unclear,unclear,Yes,,4/13/2020,4/20/2020,beef,M8+V8,,"Reuters, AP, DTN, Iowa Governor press releases, WHO-TV, The Courier",,https://www.reuters.com/article/us-health-coronavirus-meat-factbox-idUSKCN21V09W?utm_campaign=trueAnthem%3A+Trending+Content&utm_medium=trueAnthem&utm_source=facebook,https://www.usnews.com/news/best-states/iowa/articles/2020-04-13/iowa-beef-plant-suspends-operations-after-workers-get-virus,https://www.dtnpf.com/agriculture/web/ag/news/world-policy/article/2020/04/06/two-iowa-plants-suspend-operations,https://khqa.com/news/coronavirus/beef-processing-to-stop-after-workers-infected-with-coronavirus,https://www.reuters.com/article/us-health-coronavirus-meat-factbox-idUSKCN21V09W?utm_campaign=trueAnthem%3A+Trending+Content&utm_medium=trueAnthem&utm_source=facebook,https://www.chicagotribune.com/coronavirus/ct-nw-iowa-beef-plant-coronavirus-outbreak-20200420-2eqlcnpw55gypj2sncryctit4q-story.html,https://whotv.com/news/covid-19-state-of-iowa-releases-new-details-on-workplace-outbreaks/,https://wcfcourier.com/news/local/19-new-iowa-coronavirus-deaths-watch-now/article_5e4baaad-f130-5199-ab94-b2e21580dae5.html,,,,,,,,,,
Nebo Poultry,Dardanelle,Yell,Arkansas,,"63; total of 3,306 positive cases in state, per Arkansas Dept of Health",5/30/2020,n/a,n/a,unclear,unclear,No,,n/a,n/a,poultry,,,"Arkansas Democrat-Gazette, Arkansas Department of Health",state health reports obtained by Heather Schlitz of Midwest Center,https://www.arkansasonline.com/news/2020/may/30/coronavirus-cases-at-meat-plants-rise-d/?news-arkansas-nwa,https://www.thepoultryfederation.com/membership/allied-member-list/details/3/233,https://www.documentcloud.org/documents/6939504-Arkansas-Poultry-Covid-Clusters-Summary-6-5-2020.html,https://www.documentcloud.org/documents/6945186-Arkansas-Poultry-COVID-Summary-6-12-2020.html,https://www.documentcloud.org/documents/6982629-Arkansas-Poultry-COVID-Summary-7-6-2020.html,https://www.documentcloud.org/documents/6988953-Arkansas-7-13-20-Poultry-COVID-Summary-FINAL.html,,,,,,,,,,,,
New Market Poultry Products,New Market,Shenandoah,Virginia,,"""multiple""; 317 cases among poultry workers in Central Shenandoah Health District, per WHSV-TV; 1 of 14 affected plants w/ a total of 1,109 positive cases, per CDC",4/29/2020,n/a,n/a,unclear,unclear,No,,n/a,n/a,poultry,P4602A,,WHSV-TV,Central Shenandoah Health District is on opposite side of state as Eastern Shore,https://www.whsv.com/content/news/New-Market-Poultry-facility-confirms-more-then-one-employee-570041131.html,https://www.whsv.com/content/news/COVID-19-still-impacting-meatpacking-industry-locally-and-nationwide-570812021.html,https://www.cdc.gov/mmwr/volumes/69/wr/mm6927e2.htm?s_cid=mm6927e2_w,,,,,,,,,,,,,,,
OK Foods,Ft. Smith,Sebastian,Arkansas,,"60; total of 3,306 positive cases in state, per Arkansas Dept of Health",7/6/2020,n/a,n/a,unclear,unclear,No,,n/a,n/a,poultry,P165 + V165,Yes,Arkansas Dept of Health,,https://www.documentcloud.org/documents/6982629-Arkansas-Poultry-COVID-Summary-7-6-2020.html,,,,,,,,,,,,,,,,,
Peco Foods,Canton,Madison,Mississippi,,"6; 123 total cases in state, per CDC",5/1/2020,n/a,n/a,unclear,unclear,No,,n/a,n/a,poultry,P890,,Clarion Ledger,,https://www.clarionledger.com/story/news/2020/05/01/mississippi-coronavirus-disease-spreads-among-chicken-plant-workers/3041482001/,,,,,,,,,,,,,,,,,
Peco Foods,Brooksville,Noxubee,Mississippi,,"1; 123 total cases in state, per CDC",5/1/2020,n/a,n/a,unclear,unclear,No,,n/a,n/a,poultry,P18863+V18863,,Clarion Ledger,,https://www.clarionledger.com/story/news/2020/05/01/mississippi-coronavirus-disease-spreads-among-chicken-plant-workers/3041482001/,,,,,,,,,,,,,,,,,
Perdue Farms,Milford,Kent,Delaware,,n/a,n/a,n/a,n/a,unclear,unclear,Yes,,3/30/2020,3/31/2020,poultry,P1318,,Cape Gazette,,https://www.capegazette.com/article/perdue-closes-milford-plant-wake-coronavirus-cases/200187,,,,,,,,,,,,,,,,,
Perdue Farms,Perry,Houston,Georgia,,"at least 1; 509 total positive cases in state, per CDC",3/28/2020,n/a,n/a,unclear,unclear,No,,n/a,n/a,poultry,P21234,,"13WMAZ, Perdue Farms press release, Centers for Disease Control and Prevention",,https://www.13wmaz.com/article/news/health/coronavirus/perdue-farms-in-perry-confirms-covid-19-case/93-23bc9dd6-f392-4e68-918f-e9853b770aab,https://corporate.perduefarms.com/news/press-releases/perdue-farms-confirms-positive-case-of-covid-19/,https://www.cdc.gov/mmwr/volumes/69/wr/mm6927e2.htm?s_cid=mm6927e2_w,,,,,,,,,,,,,,,
Perdue Farms,Sioux City,Woodbury,Iowa,,20,5/26/2020,n/a,n/a,unclear,unclear,No,,n/a,n/a,pork,M812+V812,,CBS2 Iowa,Perdue Farms bought Sioux-Preme in 2015,https://cbs2iowa.com/news/local/state-officials-announce-two-more-meatpacking-plant-outbreaks-in-northwest-iowa,https://siouxlandnews.com/archive/perdue-farms-buy-sioux-preme-processing-plants,,,,,,,,,,,,,,,,
Perdue Farms,Sioux Center,Sioux,Iowa,,69,5/26/2020,n/a,n/a,unclear,unclear,No,,n/a,n/a,pork,M5537,,CBS2 Iowa,Perdue Farms bought Sioux-Preme in 2015,https://cbs2iowa.com/news/local/state-officials-announce-two-more-meatpacking-plant-outbreaks-in-northwest-iowa,https://siouxlandnews.com/archive/perdue-farms-buy-sioux-preme-processing-plants,,,,,,,,,,,,,,,,
Perdue Farms,Cromwell,Ohio,Kentucky,1995,"281; total of 559 positive cases in state, per CDC",4/23/2020,"1; 4 total in state, per CDC",5/12/2020,about 1200,about 1200 (all workers),No,,n/a,n/a,poultry,P19112,,"WKU FM (NPR affiliate), WFPL, Ohio Valley Resource, WFIE-TV, WEHT-TV, Bowling Green Daily News",,https://www.wkyufm.org/post/kentucky-meat-processing-plants-confronting-covid-19,https://wfpl.org/kentucky-meatpacking-plants-new-coronavirus-hotspots-with-dozens-of-cases/,https://ohiovalleyresource.org/2020/04/27/one-worker-dead-more-than-200-infected-as-coronavirus-hits-ky-meatpackers/,https://www.kfvs12.com/2020/04/29/western-ky-meat-processing-companies-see-large-amount-covid-cases/,https://www.tristatehomepage.com/news/coronavirus-watch/coronavirus-watch-kentucky/covid-19-cases-increase-at-3-ky-meat-processing-facilities/,https://www.wkyufm.org/post/kentucky-meat-processing-plants-confronting-covid-19,https://www.bgdailynews.com/news/perdue-farms-plant-tied-to-areas-spike-in-covid-19-cases/article_91b7c118-b595-5722-9c1e-a9d5c6696590.html,https://www.cdc.gov/mmwr/volumes/69/wr/mm6927e2.htm?s_cid=mm6927e2_w,,,,,,,,,,
Perdue Farms,Lewiston-Woodville,Bertie,North Carolina,,"1 of 28 plants w/ total of 2,772 positive tests in state, per The Guardian",4/21/2020,n/a,n/a,unclear,unclear,No,,n/a,n/a,poultry,P9197,,"WITN-TV, North Carolina Health News, The Guardian",,https://www.witn.com/content/news/Perdue-Farms-employee-speaks-out-after-co-worker-tests-positive-for-COVID-19-569954481.html,https://www.northcarolinahealthnews.org/2020/05/01/smithfield-struggles-to-contain-covid/,https://www.bladenjournal.com/news/32615/coronavirus-north-carolina-meat-processing-plants-at-least-28-have-more-than-2700-cases,https://www.theguardian.com/environment/2020/jul/01/revealed-covid-19-outbreaks-meat-processing-plants-north-carolina,,,,,,,,,,,,,,
Perdue Farms,Accomac,Accomack,Virginia,,"about 80 employees and those who came into contact; ""roughly 510"" total positive cases in Eastern Shore poultry plants; 1 of 14 affected plants w/ a total of 1,109 positive cases, per CDC",4/22/2020,n/a,n/a,unclear,unclear,No,,n/a,n/a,poultry,P7903,,"Eastern Shore Post, Washington Post, Virginia Department of Health","local official: ""more than 50% of our total,"" 59 cases on Eastern Shore",https://www.easternshorepost.com/2020/04/22/poultry-plant-employees-concerned-as-coronavirus-cases-increase/,https://www.washingtonpost.com/local/virus-spread-at-virginia-chicken-plants-alarms-health-officials/2020/04/28/7ef459d4-898e-11ea-ac8a-fe9b8088e101_story.html,https://www.vdh.virginia.gov/news/2020-regional-news-releases/eastern-shore-health-district-announces-results-from-may-8-9-testing-clinic/,https://www.cdc.gov/mmwr/volumes/69/wr/mm6927e2.htm?s_cid=mm6927e2_w,,,,,,,,,,,,,,
Plainville Farms,York,York,Pennsylvania,,"several; 1 of 30 affected plants w/ total of 1,169 positives in state, per CDC",4/21/2020,n/a,n/a,unclear,unclear,No,,n/a,n/a,turkey,,,York Daily Record,,https://www.ydr.com/story/news/2020/04/21/york-latino-coronavirus-patients-tied-planville-farms-turkey-plant/2996287001/,https://www.cdc.gov/mmwr/volumes/69/wr/mm6927e2.htm?s_cid=mm6927e2_w,,,,,,,,,,,,,,,,
Prestage Foods,Eagle Grove,Wright,Iowa,,25,4/20/2020,n/a,n/a,unclear,unclear,No,,n/a,n/a,pork,M51340+V51340,,Des Moines Register,,https://www.desmoinesregister.com/story/news/health/2020/04/20/coronavirus-iowa-live-updates-covid-19-positive-tests-deaths-map-data-graphics-shutdown-reopening/2976623001/,https://www.desmoinesregister.com/story/news/health/2020/04/20/coronavirus-iowa-live-updates-covid-19-positive-tests-deaths-map-data-graphics-shutdown-reopening/2976623001/,,,,,,,,,,,,,,,,
Quality Pork,Austin,Mower,Minnesota,,"about 170; 231 btwn 2 Austin plants, per Star-Tribune; total of 1,669 positive cases in state, per Minneapolis Star Tribune",5/25/2020,n/a,n/a,1300,unclear,No,,n/a,n/a,pork,M1620,,"Minneapolis Star Tribune, Minneapolis/St. Paul Business Journal","These 2 plants operate right next to each other, per Star-Tribune",https://www.startribune.com/coronavirus-hit-meat-plants-just-as-workers-were-being-asked-to-speed-up/570758212/,https://www.bizjournals.com/twincities/news/2020/06/03/hormel-battling-covid-19-cases-austin-qpp.html,https://www.startribune.com/more-than-200-at-hormel-quality-pork-processors-test-positive-for-covid-19/571058272/,https://www.startribune.com/more-than-200-at-hormel-quality-pork-processors-test-positive-for-covid-19/571058272/,,,,,,,,,,,,,,
Quality Sausage,Dallas,Dallas,Texas,,"""some""",4/28/2020,3,4/28/2020,unclear,unclear,Yes,,4/24/2020,5/8/2020,sausage,M5666+P5666+V5666,,"Dallas Morning News, Stella Chavez of KERA News, Fort Worth Star-Telegram",,https://www.dallasnews.com/business/local-companies/2020/04/28/dallas-meat-plant-workers-say-company-refused-to-close-despite-covid-19-outbreak/,https://www.dallasnews.com/business/local-companies/2020/05/08/west-dallas-meat-processing-plant-to-reopen-after-worker-deaths-and-illnesses/,https://twitter.com/stellamchavez/status/1255139213424472073,https://www.dallasnews.com/business/local-companies/2020/04/28/dallas-meat-plant-workers-say-company-refused-to-close-despite-covid-19-outbreak/,https://www.star-telegram.com/news/business/article242932471.html,,,,,,,,,,,,,
Rantoul Foods,Rantoul,Champaign,Illinois,,"91; 1 of 26 plants affected in state w/ 1,029 total cases, per CDC",5/4/2020,n/a,n/a,unclear,unclear,No,,n/a,n/a,pork,M35,,Midwest Center reporting,First case recorded on 4/26,https://investigatemidwest.org/2020/05/04/meat-plant-in-central-illinois-sees-outbreak/,,,,,,,,,,,,,,,,,
Redwood Farms Meat Processors,Estherville,Emmet,Iowa,,1,4/21/2020,n/a,n/a,unclear,unclear,Yes,,4/21/2020,4/28/2020,pork,M21898+V21898,,Radio Iowa,,https://www.radioiowa.com/2020/04/21/estherville-pork-plant-stops-production-for-cleaning-after-coronavirus-case/,,,,,,,,,,,,,,,,,
Rocky Mountain Natural Meats,Henderson,Adams,Colorado,,18,5/1/2020,n/a,n/a,unclear,unclear,No,,n/a,n/a,bison,M20247+V20247,,Colorado Dept of Public Health and Environment,,https://covid19.colorado.gov/data/outbreak-data,,,,,,,,,,,,,,,,,
Rose Packing,Chicago,Cook,Illinois,,"21; 1 of 26 plants affected in state w/ 1,029 total cases, per CDC",4/18/2020,n/a,n/a,more than 500,unclear,No,,n/a,n/a,"pork, beef, turkey, poultry",M251+P6930,,ABC7 Chicago,,https://abc7chicago.com/rose-packing-meat-packaging-plant-outbreak-coronavirus-food/6114075/,,,,,,,,,,,,,,,,,
Salm Partners,Denmark,Brown,Wisconsin,,"45; 1 of 14 affected plants w/ a total of 860 positive cases, per CDC",4/21/2020,n/a,n/a,600,unclear,No,,n/a,n/a,sausage,M47164+P47164,,"Green Bay Press Gazette, Milwaukee Journal-Sentinel, WBAY-TV, Centers for Disease Control and Prevention",,https://www.greenbaypressgazette.com/story/news/2020/04/20/green-bay-coronavirus-jbs-packing-american-foods-employees-infected/5165369002/,https://www.jsonline.com/story/news/2020/04/23/coronavirus-cases-linked-green-bay-meatpacking-plant-spike/3007750001/,https://www.greenbaypressgazette.com/story/news/2020/04/25/brown-county-coronavirus-how-cluster-covid-19-developed/3000721001/,https://www.wbay.com/content/news/More-Brown-County-COVID-19-cases-linked-to-outbreaks-at-meat-packing-facilities-570047781.html,https://www.greenbaypressgazette.com/story/news/2020/06/17/brown-county-coronavirus-deaths-green-bay-mom-daughter-die-covid-19/3175263001/,https://www.cdc.gov/mmwr/volumes/69/wr/mm6927e2.htm?s_cid=mm6927e2_w,,,,,,,,,,,,
Sanderson Farms,Moultrie,Colquitt,Georgia,,"15; 509 total positive cases in state, per CDC",4/7/2020,n/a,n/a,unclear,unclear,No,,n/a,n/a,poultry,P32182,,"WTXL Tallahassee, Centers for Disease Control and Prevention",,https://www.wtxl.com/news/local-news/more-than-400-employees-at-sanderson-farms-plant-in-moultrie-sent-home-due-to-covid-19-concerns,https://www.cdc.gov/mmwr/volumes/69/wr/mm6927e2.htm?s_cid=mm6927e2_w,,,,,,,,,,,,,,,,
Sanderson Farms,McComb,Pike,Mississippi,,"at least 1; 123 total cases in state, per CDC",3/23/2020,n/a,n/a,unclear,unclear,No,,n/a,n/a,poultry,P18557,,Reuters,,https://www.reuters.com/article/health-coronavirus-usa-sanderson-farms-idUSL1N2BG1QZ,,,,,,,,,,,,,,,,,
Sanderson Farms,Kinston,Lenoir,North Carolina,2006,"1 of 28 plants w/ total of 2,772 positive tests in state, per The Guardian",4/20/2020,n/a,n/a,unclear,unclear,No,,n/a,n/a,poultry,P40183,,"WITN-TV, North Carolina Health News, The Guardian",,https://www.witn.com/content/news/Sanderson-Farms-says-employee-tests-positive-for-COVID-19-at-Kinston-plant-569799321.html,https://www.northcarolinahealthnews.org/2020/05/01/smithfield-struggles-to-contain-covid/,https://www.bladenjournal.com/news/32615/coronavirus-north-carolina-meat-processing-plants-at-least-28-have-more-than-2700-cases,https://www.theguardian.com/environment/2020/jul/01/revealed-covid-19-outbreaks-meat-processing-plants-north-carolina,,,,,,,,,,,,,,
